transcript_id,cancer_fold
ENST00000293288,0.3987722588215067
ENST00000352993,0.7459112067085512
ENST00000262643,4.1243632249834015
ENST00000381573,2.2255239171038874
ENST00000283635,2.2290743804408493
ENST00000261769,0.7572556562082479
ENST00000269141,4.1792870783122975
ENST00000316629,4.341888918238511
ENST00000244741,0.5533123058565643
ENST00000275493,2.8430083198519545
ENST00000269571,0.8114935122786342
ENST00000206249,0.15420610938212748
ENST00000167586,4.096426073178791
ENST00000311208,3.2638717933138106
ENST00000252242,4.283430334222023
ENST00000258148,0.6024040314425111
ENST00000368653,3.8862720233671038
ENST00000379143,3.515198024737605
ENST00000334409,1.6463048553582849
ENST00000263463,0.2818216611779091
ENST00000267868,0.8660976685491388
ENST00000269305,0.2640205410027569
ENST00000224237,3.4761365028578215
ENST00000297720,0.9418894596088534
ENST00000390326,1.0082001228373738
ENST00000384875,1.1418243294267383
ENST00000424361,0.9839333832198676
ENST00000843415,1.0869124342623049
ENST00000486780,1.0610256083511191
ENST00000720749,1.1338067240083987
ENST00000493457,0.8096269236061665
ENST00000339872,1.1288251617841547
ENST00000304060,0.9794711001822597
ENST00000726396,1.02847465569564
ENST00000514278,0.9436511550009211
ENST00000600067,1.2825590109857883
ENST00000416803,0.7356061912682555
ENST00000424691,1.2335516735798173
ENST00000555462,0.9031640515186288
ENST00000390667,1.257779381131747
ENST00000645754,1.2010334499854107
ENST00000396368,1.1644493071288675
ENST00000357533,1.132264372757538
ENST00000577298,1.4048687839690346
ENST00000502464,0.9146229725145302
ENST00000836738,0.9165025488570542
ENST00000544381,0.9063007069086757
ENST00000455449,1.148862506405465
ENST00000635290,0.8229381758195508
ENST00000801450,1.1637819808392644
ENST00000525646,0.9576565932691006
ENST00000292852,0.8520100471410352
ENST00000506425,0.850747303950015
ENST00000334619,0.8873497529162302
ENST00000656055,0.800189753728612
ENST00000509967,1.0801709491401184
ENST00000451053,1.136290068468504
ENST00000732634,1.1546543274553154
ENST00000808303,0.9103076976220567
ENST00000296059,1.0472730094729226
ENST00000682872,1.0007811576852013
ENST00000399124,1.1093006660060623
ENST00000716896,1.0690060845714942
